multi,corresponding
"Albany-Lebanon, OR","Albany, OR"
"Albany-Schenectady-Troy, NY","Albany, NY"
"Allentown-Bethlehem-Easton, PA-NJ","Allentown, PA"
"Anniston-Oxford, AL","Anniston, AL"
"Athens-Clarke County, GA","Athens, GA"
"Atlanta-Sandy Springs-Alpharetta, GA","Atlanta, GA"
"Atlantic City-Hammonton, NJ","Atlantic City, NJ"
"Auburn-Opelika, AL","Auburn, AL"
"Augusta-Richmond County, GA-SC","Augusta, GA"
"Austin-Round Rock-Georgetown, TX","Austin, TX"
"Baltimore-Columbia-Towson, MD","Baltimore, MD"
"Beaumont-Port Arthur, TX","Beaumont, TX"
"Birmingham-Hoover, AL","Birmingham, AL"
"Blacksburg-Christiansburg, VA","Blacksburg, VA"
"Bloomsburg-Berwick, PA","Bloomsburg, PA"
"Boston-Cambridge-Newton, MA-NH","Boston, MA"
"Bremerton-Silverdale-Port Orchard, WA","Bremerton, WA"
"Bridgeport-Stamford-Norwalk, CT","Bridgeport, CT"
"Brownsville-Harlingen, TX","Brownsville, TX"
"Buffalo-Cheektowaga, NY","Buffalo, NY"
"Burlington-South Burlington, VT","Burlington, VT"
"California-Lexington Park, MD","California, MD"
"Canton-Massillon, OH","Canton, OH"
"Cape Coral-Fort Myers, FL","Cape Coral, FL"
"Cape Girardeau, MO-IL","Cape Girardeau, MO"
"Chambersburg-Waynesboro, PA","Chambersburg, PA"
"Champaign-Urbana, IL","Champaign, IL"
"Charleston-North Charleston, SC","Charleston, SC"
"Charlotte-Concord-Gastonia, NC-SC","Charlotte, NC"
"Chattanooga, TN-GA","Chattanooga, TN"
"Chicago-Naperville-Elgin, IL-IN-WI","Chicago, IL"
"Cincinnati, OH-KY-IN","Cincinnati, OH"
"Clarksville, TN-KY","Clarksville, TN"
"Cleveland-Elyria, OH","Cleveland, OH"
"College Station-Bryan, TX","College Station, TX"
"Columbus, GA-AL","Columbus, GA"
"Crestview-Fort Walton Beach-Destin, FL","Crestview, FL"
"Cumberland, MD-WV","Cumberland, MD"
"Dallas-Fort Worth-Arlington, TX","Dallas, TX"
"Daphne-Fairhope-Foley, AL","Daphne, AL"
"Davenport-Moline-Rock Island, IA-IL","Davenport, IA"
