city,lat,lng
"Akron, OH",41.0814447,-81.51900529999999
"Cleveland, OH",41.49932,-81.6943605
"Canton, OH",40.79894729999999,-81.378447
"Albany, NY",42.6525793,-73.7562317
"Amsterdam, NY",42.9377453,-74.190356
"Corvallis, OR",44.5645659,-123.2620435
"Albertville, AL",34.2675937,-86.20886689999999
"Decatur, AL",34.6059253,-86.9833417
"Huntsville, AL",34.7303688,-86.5861037
"Albuquerque, NM",35.0843859,-106.650422
"Santa Fe, NM",35.6869752,-105.937799
"Las Vegas, NM",35.5942137,-105.2227978
"Altoona, PA",40.5186809,-78.3947359
"Huntingdon, PA",40.48479589999999,-78.0102813
"Amarillo, TX",35.2219971,-101.8312969
"Borger, TX",35.6678203,-101.3973876
"Pampa, TX",35.5361559,-100.9598709
"Ames, IA",42.0307812,-93.63191309999999
"Des Moines, IA",41.5868353,-93.6249593
"Ann Arbor, MI",42.2808256,-83.7430378
"Detroit, MI",42.331427,-83.0457538
"Appleton, WI",44.2619309,-88.41538469999999
"Oshkosh, WI",44.0247062,-88.5426136
"Asheville, NC",35.5950581,-82.5514869
"Brevard, NC",35.2334472,-82.7342919
"Marion, NC",35.6840131,-82.00927449999999
"Ashland, OH",40.8686675,-82.3182178
"Charleston, WV",38.3498195,-81.6326234
"Huntington, WV",38.4192496,-82.44515400000002
"Bucyrus, OH",40.8083909,-82.97546489999999
"Mansfield, OH",40.75839,-82.5154471
"Athens, GA",33.9519347,-83.357567
"Athens, TN",35.4428512,-84.5929898
"Chattanooga, TN",35.0457984,-85.3093995
"Cleveland, TN",35.1595182,-84.8766115
"Atlanta, GA",33.7489954,-84.3879824
"Gainesville, GA",34.2978794,-83.8240663
"Auburn, AL",32.6098566,-85.48078249999999
"Columbus, GA",32.4609764,-84.9877094
"Auburn, IN",41.3669942,-85.0588575
"Fort Wayne, IN",41.079273,-85.1393513
"Huntington, IN",40.8831011,-85.49747599999999
"Auburn, NY",42.9317335,-76.5660529
"Syracuse, NY",43.0481221,-76.14742439999999
"Austin, MN",43.6666296,-92.97463669999999
"Rochester, MN",44.0121221,-92.4801989
"Austin, TX",30.267153,-97.7430608
"Baltimore, MD",39.2903848,-76.6121893
"Washington, DC",38.9071923,-77.0368707
"Baraboo, WI",43.4710944,-89.74429060000001
"Madison, WI",43.0721661,-89.4007501
"Bardstown, KY",37.8092279,-85.46690249999999
"Louisville, KY",38.2526647,-85.7584557
"Barre, VT",44.1970055,-72.50204939999999
"Burlington, VT",44.4758825,-73.21207199999999
"Bartlesville, OK",36.7473114,-95.98081789999999
"Tulsa, OK",36.1539816,-95.99277500000001
"Muskogee, OK",35.7478769,-95.3696909
"Batavia, NY",42.9981156,-78.1875167
"Rochester, NY",43.15657789999999,-77.6088465
"Seneca Falls, NY",42.9106219,-76.7966215
"Baton Rouge, LA",30.4514677,-91.18714659999999
"Battle Creek, MI",42.3211522,-85.17971419999999
"Kalamazoo, MI",42.2917069,-85.5872286
"Bay City, MI",43.5944677,-83.8888647
"Midland, MI",43.6155825,-84.2472116
"Saginaw, MI",43.4194699,-83.9508068
"Beatrice, NE",40.2659269,-96.7466913
"Lincoln, NE",40.813616,-96.7025955
"Beaver Dam, WI",43.4577692,-88.837329
"Fond du Lac, WI",43.7730448,-88.4470508
"Beckley, WV",37.7781702,-81.1881557
"Bedford, IN",38.8611619,-86.4872149
"Bloomington, IN",39.165325,-86.52638569999999
"Bend, OR",44.0581728,-121.3153096
"Prineville, OR",44.2998485,-120.8344664
"Birmingham, AL",33.5185892,-86.8103567
"Cullman, AL",34.1748208,-86.8436124
